                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2139,                0.91721,                0.99346,                 1.8789,             0.00023742,             0.00023742,             0.00023742
                      2,                0.32936,                 0.9232,                0.99564,                 1.8709,             0.00046817,             0.00046817,             0.00046817
                      3,                0.37471,                0.90795,                0.99237,                 1.8754,             0.00069168,             0.00069168,             0.00069168
                      4,                 0.3642,                0.91667,                0.99455,                 1.8579,             0.00068138,             0.00068138,             0.00068138
                      5,                0.26911,                0.93192,                0.99782,                 1.8443,             0.00068138,             0.00068138,             0.00068138
                      6,                0.22098,                0.91231,                0.99237,                 1.8541,              0.0006705,              0.0006705,              0.0006705
                      7,                0.21209,                0.92974,                 0.9951,                 1.8329,             0.00065963,             0.00065963,             0.00065963
                      8,                0.17702,                0.92102,                0.99782,                 1.8465,             0.00064875,             0.00064875,             0.00064875
                      9,                0.17513,                 0.9341,                0.99455,                 1.8292,             0.00063788,             0.00063788,             0.00063788
                     10,                0.14773,                0.92974,                0.99455,                 1.8331,               0.000627,               0.000627,               0.000627
                     11,                0.12306,                0.94608,                0.99891,                 1.8214,             0.00061613,             0.00061613,             0.00061613
                     12,                0.12874,                0.94009,                0.99673,                 1.8262,             0.00060525,             0.00060525,             0.00060525
                     13,                0.10973,                0.93845,                0.99619,                 1.8253,             0.00059438,             0.00059438,             0.00059438
                     14,                0.11033,                0.93954,                0.99346,                 1.8206,              0.0005835,              0.0005835,              0.0005835
                     15,                0.10282,                  0.939,                0.99346,                 1.8216,             0.00057263,             0.00057263,             0.00057263
                     16,                0.10364,                0.94662,                0.99673,                 1.8174,             0.00056175,             0.00056175,             0.00056175
                     17,                0.10426,                0.92919,                0.99346,                 1.8324,             0.00055088,             0.00055088,             0.00055088
                     18,                0.09297,                0.95153,                0.99728,                 1.8101,                0.00054,                0.00054,                0.00054
                     19,                0.07451,                0.94662,                0.99673,                 1.8161,             0.00052913,             0.00052913,             0.00052913
                     20,                0.08697,                0.94499,                0.99782,                 1.8144,             0.00051825,             0.00051825,             0.00051825
